word_c,char_c,word,bpe,character,morfessor
3,24,16.54407501220703,28.97235941886902,21.465086936950684,17.56130313873291
13,108,103.84870147705078,112.85749530792236,106.35749983787537,87.17760133743286
6,36,37.55451488494873,45.71354532241821,39.706974506378174,25.827056407928467
11,99,83.37092065811157,106.15374302864075,93.10666084289551,84.9478964805603
9,63,64.36057186126709,113.03586721420288,92.35074543952942,71.62886047363281
8,62,54.98123264312744,82.74727869033813,62.46669054031372,52.585116386413574
11,83,76.4662036895752,72.71720886230469,68.44238829612732,61.52569913864136
13,114,92.01590824127197,117.65452694892883,94.07822036743164,92.93578004837036
11,93,80.14252281188965,114.87899041175842,107.9066870212555,87.96012926101685
13,79,87.28037023544312,107.17582869529724,99.47908234596252,86.4211916923523
11,86,68.04184341430664,89.04359102249146,79.49588632583618,77.46143102645874
10,67,64.11229944229126,68.76999306678772,59.914175033569336,61.1944580078125
13,100,96.88639307022095,104.20042037963867,107.59466099739075,100.02183389663696
18,128,125.99960613250732,122.36149263381958,120.97868800163269,102.89585590362549
18,177,145.90747833251953,184.815514087677,230.89035964012146,158.45718955993652
22,159,160.19754457473755,161.06636357307434,152.82225918769836,148.62222051620483
5,52,28.512017250061035,53.46175479888916,82.49063730239868,64.3286542892456
13,106,98.39357900619507,83.05403304100037,85.5240375995636,83.25890970230103
13,99,96.80276155471802,122.21181988716125,119.5081238746643,115.27433347702026
19,150,149.9200348854065,148.54681277275085,152.76286602020264,140.99875926971436
10,73,69.08932542800903,92.80842542648315,83.65519857406616,80.27974033355713
28,153,175.31889486312866,145.17508935928345,150.5800485610962,143.54527759552002
16,107,113.42207193374634,120.2947826385498,119.28997588157654,116.71016311645508
23,150,165.18102073669434,164.48804330825806,180.23815417289734,165.27381801605225
6,53,38.05485248565674,44.911194801330566,45.16361141204834,35.12860441207886
16,127,111.42253398895264,134.70679235458374,122.98727178573608,134.24088144302368
17,121,119.84692811965942,122.06671166419983,116.54646158218384,122.87430334091187
8,61,55.09398937225342,73.22650647163391,83.92786955833435,84.71234846115112
9,66,67.84184551239014,56.3780460357666,57.827632665634155,47.38185262680054
20,145,149.76527500152588,145.92943811416626,135.01093006134033,121.54748439788818
17,117,125.84772205352783,124.96943879127502,117.24909281730652,110.44241762161255
15,129,104.93893146514893,129.81391668319702,122.91088914871216,134.31366300582886
15,119,109.43348979949951,117.5915470123291,106.26555180549622,100.93268632888794
25,208,201.6306495666504,256.30819511413574,240.11681199073792,253.9417495727539
10,73,62.846609115600586,57.44595289230347,63.05515122413635,62.32292032241821
2,25,5.471985340118408,40.66256618499756,36.42562460899353,23.91732931137085
8,61,57.533043384552,66.26478576660156,66.86823797225952,61.12296104431152
15,105,93.03185749053955,88.50126147270203,78.20238924026489,76.94374513626099
9,68,60.706095695495605,55.639976024627686,55.549768686294556,55.326709270477295
30,180,218.88610553741455,211.2693314552307,204.66477346420288,242.5009093284607
25,163,184.1785831451416,178.12185645103455,232.18061423301697,178.80308866500854
12,100,101.13547325134277,138.03244519233704,127.17686343193054,120.18760395050049
20,125,153.33728456497192,166.3349642753601,161.65845561027527,141.50174140930176
24,187,175.56647300720215,195.8126518726349,169.45882415771484,169.77726936340332
4,42,28.234711170196533,63.31693458557129,70.58983635902405,46.06647968292236
18,136,126.32169532775879,112.23684215545654,110.03126621246338,110.69965553283691
9,76,66.2131462097168,91.11333060264587,100.87244653701782,77.61539697647095
24,206,180.80367231369019,200.1809995174408,196.77954268455505,184.45480346679688
19,135,127.33361911773682,133.95950937271118,132.89572715759277,123.4458818435669
19,133,130.93406629562378,148.85537600517273,140.9157257080078,131.25622367858887
22,154,154.8288984298706,142.38128280639648,145.93167304992676,147.16137504577637
16,112,109.3352746963501,126.71691513061523,130.13578271865845,149.49410963058472
21,161,160.27202463150024,156.36844849586487,141.04901337623596,162.01852750778198
22,157,160.41896724700928,146.20102453231812,191.61045908927917,131.25139951705933
13,115,104.21525478363037,130.18911409378052,124.81914687156677,124.83661651611328
7,62,45.46187734603882,58.921324014663696,52.570210456848145,50.877070903778076
13,77,82.83939790725708,104.50597810745239,128.4047429561615,92.36484432220459
14,81,90.36574792861938,96.16030311584473,93.89363741874695,91.38360166549683
15,74,96.75470733642578,73.98264813423157,77.92089915275574,76.98019742965698
10,92,75.19413375854492,107.31377005577087,93.42558717727661,89.77772903442383
13,85,89.2043604850769,117.04012989997864,106.61071801185608,102.19412851333618
15,98,105.06921672821045,130.43044185638428,120.64341306686401,109.94875860214233
23,179,208.08377075195312,259.0266602039337,232.9809341430664,226.67916822433472
26,203,200.60751628875732,227.95075464248657,187.90319991111755,215.29191207885742
15,126,119.15860414505005,150.79494762420654,146.64502382278442,141.49862098693848
