word_c,char_c,word,bpe,character,morfessor,morpheme
21,98,104.0253095626831,113.67691493034363,125.78494715690613,106.95691061019897,91.91132164001465
9,43,20.657121181488037,39.51887893676758,38.919273138046265,33.995213985443115,19.456582069396973
19,107,82.04490852355957,89.89226388931274,91.60186791419983,81.88519144058228,76.26045656204224
15,78,74.4060549736023,103.01550102233887,93.47341108322144,83.7932596206665,77.44833040237427
15,76,73.05502033233643,79.89867687225342,85.67853045463562,79.04900646209717,70.34541368484497
10,55,60.818336486816406,104.11756539344788,103.56287217140198,97.41623830795288,46.1497368812561
16,94,72.49479579925537,87.01285934448242,87.76029348373413,79.97446966171265,66.42295455932617
15,87,83.56104850769043,125.8714005947113,110.2974374294281,107.91473197937012,91.12677717208862
16,84,82.15423440933228,96.17982387542725,95.92280697822571,96.12449359893799,77.7560544013977
25,118,91.24090242385864,92.881995677948,94.82263851165771,89.58128881454468,84.84240102767944
11,52,51.221994400024414,67.19558668136597,59.7424476146698,47.07142877578735,45.415940284729004
15,86,76.96929693222046,83.24658632278442,84.06824803352356,73.59792375564575,65.338369846344
28,156,153.1607789993286,169.6309769153595,168.35171723365784,148.4460825920105,133.90194368362427
32,181,187.21657371520996,229.49129438400269,191.2835566997528,194.2123670578003,173.29754781723022
38,178,149.4337511062622,186.211341381073,180.79905676841736,166.48059701919556,135.58244514465332
11,56,62.055816650390625,72.80293464660645,70.93691778182983,69.25903415679932,65.38931179046631
17,95,84.17820310592651,119.6050672531128,122.68433046340942,124.40880250930786,64.63071250915527
23,132,129.84716272354126,147.97639417648315,146.4465811252594,125.41830730438232,110.03967380523682
21,124,100.19184350967407,128.2187271118164,135.276043176651,106.9751968383789,70.36153650283813
14,60,53.667222023010254,70.86622643470764,63.7800555229187,59.39617919921875,42.491092681884766
45,230,196.8243727684021,233.5417606830597,246.69393014907837,229.9597716331482,168.3388752937317
28,134,129.87476205825806,167.3042676448822,156.52296447753906,138.53913974761963,117.65014553070068
26,151,108.53559494018555,142.42477416992188,135.9525589942932,123.01334524154663,91.18320322036743
12,61,61.00187110900879,82.88491868972778,99.36986780166626,86.02931308746338,50.75606918334961
27,159,144.83130979537964,185.31512761116028,180.94535326957703,161.6981439590454,129.2367024421692
21,105,102.11958646774292,127.34417653083801,131.48524284362793,118.65077924728394,82.59676551818848
15,72,101.68889236450195,119.7335433959961,112.59436750411987,93.04825639724731,77.54143524169922
19,95,64.24664449691772,103.83013391494751,88.43216919898987,88.35029745101929,58.78497552871704
30,149,143.2643723487854,169.1019959449768,162.5842399597168,159.14300441741943,116.16144514083862
26,129,104.247398853302,115.04013323783875,117.21110439300537,106.1563172340393,100.23479223251343
25,137,130.08775234222412,163.13585019111633,169.6975965499878,158.14827823638916,116.9048056602478
20,106,106.95708990097046,140.1205244064331,138.01678848266602,126.38639450073242,78.1579818725586
36,207,214.63561344146729,300.1315929889679,289.99152517318726,271.8928623199463,183.2676100730896
14,62,52.24253034591675,66.59855699539185,73.39136576652527,73.52198123931885,43.65412616729736
15,71,81.83091878890991,95.58415269851685,93.08527660369873,79.38221645355225,48.21363306045532
18,83,106.73027038574219,124.83070945739746,131.89888954162598,125.52289390563965,65.68328142166138
15,80,95.3378472328186,133.66578769683838,131.74087405204773,117.9331169128418,54.09807538986206
31,151,125.74590349197388,140.20093297958374,165.827166557312,142.05409955978394,100.63557767868042
30,148,122.53647375106812,146.16651439666748,163.58299255371094,160.73803901672363,98.73473501205444
22,116,139.7147798538208,210.93018889427185,192.04729676246643,183.1462116241455,102.22845411300659
20,98,122.58410787582397,156.39580583572388,167.12019968032837,156.82584524154663,109.62092399597168
34,166,218.8558406829834,256.86855030059814,281.8475742340088,285.0483646392822,151.64588737487793
23,101,97.95399522781372,126.20983099937439,132.88389444351196,134.31466484069824,64.50558948516846
12,63,68.00004720687866,138.79938173294067,142.45630264282227,143.66483402252197,58.973116397857666
35,199,192.99403524398804,262.13466691970825,260.4834158420563,269.50995540618896,171.1572961807251
23,115,119.84181213378906,185.06688475608826,183.4100034236908,167.67135334014893,138.2492756843567
21,123,143.31062936782837,168.99953889846802,163.63501238822937,154.6871280670166,131.8231806755066
32,156,159.59785079956055,206.52505826950073,192.32953476905823,183.8976707458496,129.83719301223755
19,88,68.52902364730835,93.31106662750244,89.6515007019043,96.28762149810791,48.74389600753784
28,155,159.97134828567505,170.47845578193665,183.48331332206726,176.57709503173828,144.91221952438354
34,182,176.08106088638306,179.89824652671814,213.67134761810303,178.9935278892517,118.40552806854248
21,104,108.01719427108765,148.5799171924591,151.4843111038208,129.36911535263062,100.0367546081543
11,60,64.29543495178223,75.77780866622925,72.10890984535217,67.81187009811401,46.594645977020264
19,90,96.39666032791138,112.86422395706177,109.9230227470398,108.76662540435791,83.84290361404419
20,96,68.82186031341553,89.30284452438354,98.06193685531616,87.86081552505493,59.20147895812988
15,73,49.45385026931763,57.73134708404541,62.069666624069214,51.470223903656006,42.9457893371582
25,120,141.16738557815552,158.7831814289093,150.2039818763733,145.18515968322754,139.8803791999817
16,87,94.20604705810547,109.13046526908875,110.91688370704651,101.60632991790771,91.96665287017822
25,136,106.84742641448975,120.25095725059509,130.0589599609375,126.68331623077393,96.17676448822021
40,237,217.77152299880981,243.75251698493958,248.8618996143341,243.70072889328003,214.16333293914795
35,175,179.37627172470093,197.4546947479248,184.6798665523529,176.9160237312317,170.86742687225342
29,175,149.3255434036255,197.84863567352295,181.8843002319336,170.5547308921814,133.22072172164917
24,122,120.16995286941528,168.95982027053833,160.63979864120483,153.8133406639099,76.76630067825317
11,60,51.06477403640747,64.8568685054779,64.55657601356506,63.992164611816406,38.254793643951416
32,193,202.9301118850708,265.96806168556213,237.43279790878296,209.908127784729,194.91465950012207
32,194,219.15067720413208,263.0310926437378,247.58122205734253,220.754723072052,198.63294219970703
